accno,description,charttype,category,link,taxkey,datevautomatik
0840,Kapitalrücklage,A,Q,,0,f
0841,"Kapitalrücklage durch Ausgabe von Anteilen über Nennbetrag",A,Q,,0,f
0842,"Kapitalrücklage durch Ausgabe von Schuldverschreibungen",A,Q,,0,f
0843,"Kapitalrücklage durch Zuzahlungen",A,Q,,0,f
0844,"Kapitalrücklage durch andere Zuzahlungen",A,Q,,0,f
0845,Nachschusskapital,A,Q,,0,f
0846,"Gesetzliche Rücklage",A,Q,,0,f
0848,"Andere Gewinnrücklagen aus dem Erwerb eigener Anteile",A,Q,,0,f
0849,"Rücklage für Anteile an einem herrschenden Unternehmen",A,Q,,0,f
0851,"Satzungsmäßige Rücklagen",A,Q,,0,f
0852,"Andere Ergebnisrücklagen",A,Q,,0,f
0853,"Satzungsm.Rücklagen 0% Vorbelast.(st.Einlagekto.)",A,Q,,0,f
0854,"Gewinnrücklagen aus den Übergangsvorschriften BilMoG",A,Q,,0,f
0855,"Andere Gewinnrücklagen",A,Q,,0,f
0856,"Eigenkapitalanteil von Wertaufholungen",A,Q,,0,f
0857,"Gewinnrücklagen aus den Übergangsvorschriften BilMoG",A,Q,,0,f
0858,"Gewinnrücklagen aus den Übergangsvorschriften BilMoG",A,Q,,0,f
0859,"Latente Steuern",A,Q,,0,f
0860,"Gewinnvortrag vor Verwendung",A,Q,,0,f
0865,"Gewinnvortrag vor Verwendung mit Aufteilung",A,Q,,0,f
0867,"Verlustvortrag vor Verwendung (mit Aufteilung für Kapitalkontenentwicklung)",A,Q,,0,f
0868,"Verlustvortrag vor Verwendung",A,Q,,0,f
0870,Festkapital,A,Q,,0,f
0871,"Kapital (fester Anteil)",A,Q,,0,f
0880,"Variables Kapital",A,Q,,0,f
0881,"Kapital (variabler Anteil)",A,Q,,0,f
0890,Gesellschafter-Darlehen,A,Q,,0,f
0900,Kommandit-Kapital,A,A,,0,f
0910,Verlustausgleichskonto,A,A,,0,f
0920,Gesellschafter-Darlehen,A,A,,0,f
0930,"Übrige andere Sonderposten",A,A,,0,f
0931,"Steuerfreie Rücklagen nach § 6b EStG",A,A,,0,f
0932,"Rücklage für Ersatzbeschaffung",A,A,,0,f
0940,"Sonderposten mit Rücklageanteil",A,A,,0,f
0945,"Ausgleichsposten bei Entnahmen § 4g EStG",A,A,,0,f
0946,"Rücklage für Zuschüsse",A,A,,0,f
0947,"Sonderposten mit Rücklageanteil nach § 7g Abs. 5 EStG",A,A,,0,f
0948,"Sonderposten für Zuschüsse Dritter",A,A,,0,f
0949,"Sonderposten für Investitionszulagen",A,A,,0,f
0950,"Rückstellungen für Pensionen und ähnliche Verpflichtungen",A,A,,0,f
0951,"Rückstellungen für Pensionen zur Saldierung",A,A,,0,f
0952,"Rückstellungen für Pensionen gegenüber Gesellschaftern",A,A,,0,f
0953,"Rückstellungen für Direktzusagen",A,A,,0,f
0954,"Rückstellungen für Zuschussverpflichtungen",A,A,,0,f
0955,Steuerrückstellungen,A,A,,0,f
0956,"Gewerbesteuerrückstellung nach § 4 Abs. 5b EStG",A,A,,0,f
0961,Urlaubsrückstellungen,A,A,,0,f
0962,"Steuerrückstellung aus Steuerstundung",A,A,,0,f
0963,Körperschaftsteuerrückstellung,A,A,,0,f
0964,"Rückstellungen für langfristige Verpflichtungen",A,A,,0,f
0965,"Rückstellungen für Personalkosten",A,A,,0,f
0966,"Rückstellungen zur Erfüllung der Aufbewahrungspflichten",A,A,,0,f
0967,"Rückstellungen für langfristige Verpflichtungen zur Saldierung",A,A,,0,f
0968,"Passive latente Steuern",A,A,,0,f
0969,"Rückstellung für latente Steuern",A,A,,0,f
0970,"Sonstige Rückstellungen",A,A,,0,f
0971,"Rückstellungen für unterlassene Aufwendungen",A,A,,0,f
0973,"Rückstellungen für Abraum- und Abfallbeseitigung",A,A,,0,f
0974,"Rückstellungen für Gewährleistungen",A,A,,0,f
0976,"Rückstellungen für drohende Verluste",A,A,,0,f
0977,"Rückstellungen für Abschluss- und Prüfungskosten",A,A,,0,f
0978,"Aufwandsrückstellungen nach § 249 Abs. 2 HGB",A,A,,0,f
0979,"Rückstellungen für Umweltschutz",A,A,,0,f
0980,"Aktive Rechnungsabgrenzung",A,A,,0,f
0983,"Aktive latente Steuern",A,A,,0,f
0984,"Als Aufwand berücksichtigte Zölle und Verbrauchsteuern",A,A,,0,f
0985,"Als Aufwand berücksichtigte Umsatzsteuer",A,A,,0,f
0986,Damnum/Disagio,A,A,,0,f
0987,"Rechnungsabgrenzungsposten aus erfolgsneutralen Verrechnungen",A,A,,0,f
0988,"Latente Steuern aus erfolgsneutralen Verrechnungen",A,A,,0,f
0989,"Gesamthänderisch gebundene Rücklagen",A,A,,0,f
0990,"Passive Rechnungsabgrenzung",A,A,,0,f
0992,"Abgrenzungen unterjährig pauschal gebuchter Abschreibungen",A,A,,0,f
0996,"Pauschalwertberichtigung auf Forderungen",A,A,,0,f
0997,"Restlaufzeit größer 1 Jahr",A,A,,0,f
0998,"Einzelwertberichtigungen auf Forderungen",A,A,,0,f
0999,"Restlaufzeit größer 1 Jahr",A,A,,0,f
1000,Kasse,A,A,AR_paid:AP_paid,0,f
1010,"Nebenkasse 1",A,A,,0,f
1020,"Nebenkasse 2",A,A,,0,f
1100,"Bank (Postbank)",A,E,,0,f
1110,"Bank (Postbank 1)",A,E,,0,f
1120,"Bank (Postbank 2)",A,E,,0,f
1130,"Bank (Postbank 3)",A,E,,0,f
1190,LZB-Guthaben,A,E,,0,f
1195,Bundesbankguthaben,A,E,,0,f
1200,Bank,A,A,AR_paid:AP_paid,0,f
1210,"Bank 1",A,A,,0,f
1220,"Bank 2",A,A,,0,f
1230,"Bank 3",A,A,,0,f
1240,"Bank 4",A,A,,0,f
1250,"Bank 5",A,A,,0,f
1290,"Finanzmittelanlagen im Rahmen der kurzfristigen Finanzdisposition",A,A,,0,f
1295,"Verbindlichkeiten gegenüber Kreditinstituten",A,A,,0,f
1329,"Andere Wertpapiere mit unwesentlichen Wertschwankungen",A,A,,0,f
1330,Schecks,A,A,,0,f
1340,"Anteile an verbundenen Unternehmen (Umlaufvermögen)",A,A,,0,f
1344,"Anteile an herrschender Gesellschaft",A,A,,0,f
1348,"Sonstige Wertpapiere",A,A,,0,f
1349,"Wertpapieranlagen im Rahmen der kurzfristigen Finanzdisposition",A,A,,0,f
1350,"GmbH-Anteile zum kurzfristigen Verbleib",A,A,,0,f
1352,"Genossenschaftsanteile zum kurzfristigen Verbleib",A,A,,0,f
1353,"Vermögensgegenstände zur Erfüllung langfristiger Verpflichtungen",A,A,,0,f
1354,"Vermögensgegenstände zur Saldierung langfristiger Verpflichtungen",A,A,,0,f
1355,"Ansprüche aus Rückdeckungsversicherungen",A,A,,0,f
1356,"Vermögensgegenstände zur Erfüllung von Pensionsrückstellungen",A,A,,0,f
1357,"Vermögensgegenstände zur Saldierung von Pensionsrückstellungen",A,A,,0,f
1360,Geldtransit,A,A,,0,f
1371,"Verrechnungskonto Gewinnermittlung § 4 Abs. 3 EStG",A,A,,0,f
1372,"Wirtschaftsgüter des Umlaufvermögens nach § 4 Abs. 3 EStG",A,A,,0,f
1376,"Forderungen gegen typisch stille Gesellschafter",A,A,,0,f
1377,"Restlaufzeit bis 1 Jahr",A,A,,0,f
1378,"Restlaufzeit größer 1 Jahr",A,A,,0,f
1380,"Überleitungskonto Kostenstelle",A,A,,0,f
1381,"Forderungen gegen GmbH-Gesellschafter",A,A,,0,f
1382,"Restlaufzeit bis 1 Jahr",A,A,,0,f
1383,"Restlaufzeit größer 1 Jahr",A,A,,0,f
1385,"Forderungen gegen persönlich haftende Gesellschafter",A,A,,0,f
1386,"Restlaufzeit bis 1 Jahr",A,A,,0,f
1387,"- Restlaufzeit größer 1 Jahr",A,A,,0,f
1389,"Ansprüche aus betrieblicher Altersversorgung",A,A,,0,f
1390,"Verrechnungskonto Ist-Versteuerung",A,A,,0,f
1391,"Neutralisierung ertragswirksamer Sachverhalte",A,A,,0,f
1394,"Forderungen gegen Gesellschaft/Gesamthand",A,A,,0,f
1400,"Ford. a.Lieferungen und Leistungen",A,A,AR,0,f
1401,"Forderungen aus Lieferungen und Leistungen",A,A,,0,f
1410,"Forderungen aus Lieferungen und Leistungen ohne Kontokorrent",A,A,,0,f
1444,"Forderungen aus Lieferungen und Leistungen ohne Kontokorrent",A,A,,0,f
1445,"Ford.a.LuL z.allg.USt-Satz o.eines Kleinuntern.(EÜR)",A,A,AR,0,f
1446,"Ford.aLuL z.erm.USt.-Satz (EÜR)",A,A,AR,0,f
1447,"Ford.a.steuerfr.od.nicht steuerb.LuL (EÜR)",A,A,AR,0,f
1448,"Ford.a.LuL n.Durchschnittss.gem.§24UStG(EÜR)",A,A,AR,0,f
1449,"Gegenkto. 1445-1448 bei Aufteil.d.Ford.n.Steuers.(EÜR)",A,A,,0,f
1450,"Ford.a.LuL n.Durchschnittss.gem.§24UStG(EÜR)",A,A,AR,0,f
1451,"Forderungen aus Lieferungen ohne Kontokorrent",A,A,,0,f
1455,"Restlaufzeit größer 1 Jahr",A,A,,0,f
1460,"Zweifelhafte Forderungen",A,A,,0,f
1461,"Restlaufzeit bis 1 Jahr",A,A,,0,f
1465,"Restlaufzeit größer 1 Jahr",A,A,,0,f
1470,"Forderungen aus Lieferungen gegen verbundene Unternehmen",A,A,,0,f
1471,"Restlaufzeit bis 1 Jahr",A,A,,0,f
1475,"Restlaufzeit größer 1 Jahr",A,A,,0,f
1478,"Wertberichtigungen auf Forderungen gegen verbundene Unternehmen",A,A,,0,f
1479,"Restlaufzeit größer 1 Jahr",A,A,,0,f
1480,"Forderungen aus Lieferungen gegen Unternehmen mit Beteiligungsverhältnis",A,A,,0,f
1481,"Restlaufzeit bis 1 Jahr",A,A,,0,f
1485,"Restlaufzeit größer 1 Jahr",A,A,,0,f
1488,"Wertberichtigungen auf Forderungen gegen Unternehmen mit Beteiligungsverhältnis",A,A,,0,f
1489,"Restlaufzeit größer 1 Jahr",A,A,,0,f
1490,"Forderungen aus Lieferungen gegen Gesellschafter",A,A,,0,f
1491,"Restlaufzeit bis 1 Jahr",A,A,,0,f
1495,"Restlaufzeit größer 1 Jahr",A,A,,0,f
1498,"Gegenkonto zu sonstigen Vermögensgegenständen",A,A,,0,f
1499,"Gegenkonto bei Aufteilung Debitorenkonto",A,A,,0,f
1500,"Sonstige Vermögensgegenstände",A,E,,0,f
1501,"Restlaufzeit bis 1 Jahr",A,E,,0,f
1502,"Restlaufzeit größer 1 Jahr",A,E,,0,f
1503,"Forderungen gegen Vorstandsmitglieder und Geschäftsführer",A,E,,0,f
1504,"Restlaufzeit größer 1 Jahr",A,E,,0,f
1505,"Forderungen gegen Aufsichtsrats- und Beiratsmitglieder",A,E,,0,f
1506,"Restlaufzeit größer 1 Jahr",A,E,,0,f
1507,"Forderungen gegen sonstige Gesellschafter",A,E,,0,f
1508,"Restlaufzeit größer 1 Jahr",A,E,,0,f
1510,"Geleistete Anzahlungen auf Anlagevermögen",A,E,,0,f
1511,"Geleistete Anzahlungen, 7% Vorsteuer",A,E,AP_amount,8,t
1512,"Geleistete Anzahlungen, 5% Vorsteuer",A,E,,0,f
1517,"Geleistete Anzahlungen, 16% Vorsteuer",A,E,,0,f
1518,"Geleistete Anzahlungen, 19% Vorsteuer",A,E,AP_amount,9,t
1519,"Forderungen gegen Arbeitsgemeinschaften",A,E,,0,f
1520,"Forderungen gegenüber Krankenkassen",A,E,,0,f
1521,Geltendmachungsabrechnung,A,E,,0,f
1522,"Erstattungsansprüche zu Nebenleistungen",A,E,,0,f
1524,"Einzahlungsansprüche zu Nebenleistungen oder Zuzahlungen",A,E,,0,f
1525,Kautionen,A,E,,0,f
1526,"Restlaufzeit bis 1 Jahr",A,E,,0,f
1527,"- Restlaufzeit größer 1 Jahr",A,E,,0,f
1528,"Nachträglich abziehbare Vorsteuer nach § 15a Abs. 2 UStG",A,E,,0,f
1529,"Zurückzuzahlende Vorsteuer nach § 15a Abs. 2 UStG",A,E,,0,f
1530,"Forderungen gegen Personal",A,E,,0,f
1531,"Restlaufzeit bis 1 Jahr",A,E,,0,f
1537,"Restlaufzeit größer 1 Jahr",A,E,,0,f
1539,"Umsatzsteuerforderungen frühere Jahre",A,E,,0,f
1540,"Forderungen aus Gewerbesteuerüberzahlungen",A,E,,0,f
1542,Steuererstattungsansprüche,A,E,,0,f
1543,"Forderungen gegenüber Bundesanzeiger",A,E,,0,f
1544,"Forderung gegenüber Bundesagentur für Arbeit",A,E,,0,f
1545,"Forderungen aus Umsatzsteuer-Vorauszahlungen",A,E,,0,f
1546,"Umsatzsteuerforderungen Vorjahr",A,E,,0,f
1547,"Forderungen aus entrichteten Verbrauchsteuern",A,E,,0,f
1548,"Vorsteuer in Folgeperiode abziehbar",A,E,,0,f
1549,Körperschaftsteuerrückforderung,A,E,,0,f
1550,Darlehen,A,E,,0,f
1551,"Restlaufzeit bis 1 Jahr",A,E,,0,f
1555,"Restlaufzeit größer 1 Jahr",A,E,,0,f
1556,"Nachträglich abziehbare Vorsteuer nach § 15a Abs. 1 UStG",A,E,,0,f
1557,"Zurückzuzahlende Vorsteuer nach § 15a Abs. 1 UStG",A,E,,0,f
1558,"Nachträglich abziehbare Vorsteuer nach § 15a Abs. 1 UStG",A,E,,0,f
1559,"Zurückzuzahlende Vorsteuer nach § 15a Abs. 1 UStG",A,E,,0,f
1560,"Aufzuteilende Vorsteuer",A,E,,0,f
1561,"Aufzuteilende Vorsteuer 7%",A,E,AP_amount,8,t
1562,"Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb",A,E,,0,f
1563,"Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb 19%",A,E,AP_amount,9,t
1566,"Aufzuteilende Vorsteuer 19%",A,E,AP_amount,9,t
1567,"Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG",A,E,,0,f
1568,"Abziehbare Vorsteuer 5 %",A,E,AP_tax:IC_taxpart:IC_taxservice,8,t
1569,"Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG 19%",A,E,AP_amount,9,t
1570,"Anrechenbare Vorsteuer",A,E,AP_tax:IC_taxpart:IC_taxservice,0,f
1571,"Abziehbare Vorsteuer 7%",A,E,AP_tax:IC_taxpart:IC_taxservice,0,f
1572,"Abziehbare Vorsteuer 7% innergem. Erwerb",A,E,AP_tax:IC_taxpart:IC_taxservice,0,f
1573,"Abziehbare Vorsteuer 16% innergem. Erwerb",A,E,AP_tax:IC_taxpart:IC_taxservice,0,f
1574,"Abziehbare Vorsteuer aus innergem. Erwerb 19 %",A,E,AP_tax:IC_taxpart:IC_taxservice,19,f
1575,"Abziehbare Vorsteuer 16%",A,E,AP_tax:IC_taxpart:IC_taxservice,0,f
1576,"Abziehbare Vorsteuer 19 %",A,E,AP_tax:IC_taxpart:IC_taxservice,9,f
1577,"Abzieb.Vorst.n.allg.Durchschnittss.UStVA Kz.63",A,E,AP_tax:IC_taxpart:IC_taxservice,0,f
1578,Abzieb.Vorst.n.§13b,A,E,AP_tax:IC_taxpart:IC_taxservice,0,f
1580,"Gegenkonto Vorsteuer §4/3 EStG",A,A,,0,f
1581,"Auflösung Vorst.a.Vorjahr §4/3 EStG",A,A,,0,f
1582,"Vorst.aus Investitionen §4/3 EStG",A,E,,0,f
1584,"abziehb.VorSt IG Erwerb Neufzg.b.Lief. o. USt.Ident.Nr",A,E,AR_tax,0,f
1585,"Abziehbare Vorsteuer aus der Auslagerung von Gegenständen",A,E,,0,f
1588,"Bezahlte Einfuhrumsatzsteuer",A,E,,0,f
1590,"Durchlaufende Posten",A,A,,0,f
1592,Fremdgeld,A,A,,0,f
1593,"Verrechnungskonto erhalt. Anzahl. bei Buchung über Debitorenkonto",A,L,AR,0,f
1594,"Forderungen gegen verbundene Unternehmen",A,E,,0,f
1595,"Restlaufzeit bis 1 Jahr",A,E,,0,f
1596,"Restlaufzeit größer 1 Jahr",A,E,,0,f
1597,"Forderungen gegen Unternehmen mit Beteiligungsverhältnis",A,E,,0,f
1598,"Restlaufzeit bis 1 Jahr",A,E,,0,f
1599,"Restlaufzeit größer 1 Jahr",A,E,,0,f
1600,"Verbindlichkeiten aus Lief.u.Leist.",A,L,AP,0,f
1601,"Verbindlichkeiten aus Lieferungen und Leistungen",A,L,,0,f
1605,"Vblk.a.LuL z.allg.Umsatzsteuersatz (EÜR)",A,L,AP,0,f
1606,"Vblk.a.LuL zum erm.Umsatzsteuersatz (EÜR)",A,L,AP,0,f
1607,"Vblk.a.LuL ohne Vorsteuer (EÜR)",A,L,AP,0,f
1609,"Gegenkonto 1605-1607 b.Aufteilung d.Vblk.n.Steuers.(EÜR)",A,L,,0,f
