pruefgruppe_nr,pruefgruppe,unterpunkt_nr,unterpunkt,defect_code,defect_description,possible_classes,is_custom
4,Lichttechnische Einrichtungen und elektrische Anlage,4.2,"Begrenzungs- und Schlussleuchten, Umrissleuchten, Tagfahrleuchten, Seitenmarkierungsleuchten",4.2.4a,Leuchte: nicht vorschriftsmäßige Farbe oder Anbauort,EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.2,"Begrenzungs- und Schlussleuchten, Umrissleuchten, Tagfahrleuchten, Seitenmarkierungsleuchten",4.2.5a,Leuchte: Streuscheibe beschädigt/gebrochen,GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.3,Bremsleuchten,4.3.1a,Bremsleuchte: fällt aus (eine Seite),EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.3,Bremsleuchten,4.3.1b,Bremsleuchten: beide ohne Funktion,VM|VU,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.3,Bremsleuchten,4.3.2a,Dritte Bremsleuchte: ohne Funktion (soweit serienmäßig),GM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.3,Bremsleuchten,4.3.3a,Bremsleuchte: nicht vorschriftsmäßige Farbe,EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.4,Fahrtrichtungsanzeiger (Blinker) und Warnblinkanlage,4.4.1a,Blinker: fällt aus (eine Leuchte),GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.4,Fahrtrichtungsanzeiger (Blinker) und Warnblinkanlage,4.4.1b,Blinker: komplette Seite ohne Funktion,EM|VM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.4,Fahrtrichtungsanzeiger (Blinker) und Warnblinkanlage,4.4.2a,Blinkfrequenz außerhalb Toleranz,GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.4,Fahrtrichtungsanzeiger (Blinker) und Warnblinkanlage,4.4.3a,Warnblinkanlage: ohne Funktion,EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.4,Fahrtrichtungsanzeiger (Blinker) und Warnblinkanlage,4.4.4a,Kontrollleuchte für Blinker: ohne Funktion,GM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.5,Nebelscheinwerfer und Nebelschlussleuchte,4.5.1a,Nebelscheinwerfer: nicht vorschriftsmäßig eingebaut/eingestellt,GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.5,Nebelscheinwerfer und Nebelschlussleuchte,4.5.2a,Nebelschlussleuchte: ohne Funktion,GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.5,Nebelscheinwerfer und Nebelschlussleuchte,4.5.2b,Nebelschlussleuchte: Kontrollleuchte ohne Funktion,GM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.6,Rückstrahler / Rückfahrscheinwerfer,4.6.1a,"Rückstrahler: fehlt, beschädigt oder nicht vorschriftsmäßig",GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.6,Rückstrahler / Rückfahrscheinwerfer,4.6.2a,Rückfahrscheinwerfer: ohne Funktion,GM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.6,Rückstrahler / Rückfahrscheinwerfer,4.6.2b,Rückfahrscheinwerfer: leuchtet bei Vorwärtsfahrt,EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.7,Kennzeichenbeleuchtung,4.7.1a,Kennzeichenbeleuchtung: ohne Funktion oder nicht ausreichend,GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.8,Elektrische Anlage / Verkabelung,4.8.1a,"Kabel/Leitungen: nicht ordnungsgemäß verlegt, leichte Scheuerstellen",GM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.8,Elektrische Anlage / Verkabelung,4.8.1b,"Kabel/Leitungen: mangelhaft, Kurzschlussgefahr",EM|VM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.8,Elektrische Anlage / Verkabelung,4.8.2a,Batterie: Befestigung mangelhaft,GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.8,Elektrische Anlage / Verkabelung,4.8.2b,Batterie: Kurzschlussgefahr (Polabdeckung fehlt),EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.8,Elektrische Anlage / Verkabelung,4.8.3a,Elektrische Verbindungseinrichtung (Anhängersteckdose): Kontakte defekt,GM|EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.1,Achsen / Achskörper,5.1.1a,Achse/Achskörper: gerissen oder verformt,EM|VM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.1,Achsen / Achskörper,5.1.1b,Achse/Achskörper: Bruchgefahr,VM|VU,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.1,Achsen / Achskörper,5.1.2a,Achsaufhängung: Buchsen verschlissen,GM|EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.1,Achsen / Achskörper,5.1.2b,"Achsaufhängung: Befestigung lose, Ausfall drohend",VM|VU,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.1,Achsen / Achskörper,5.1.3a,Achslenker: Lagerspiel übermäßig,EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.1,Achsen / Achskörper,5.1.3b,Achslenker: Bruch- oder Lösegefahr,VM|VU,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.1a,"Reifen: Profiltiefe an der Verschleißgrenze (1,6 mm)",EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.1b,"Reifen: Profiltiefe unter 1,6 mm",EM|VM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.2a,"Reifen: Beschädigung (Schnitte, Beulen, Risse) an Flanke oder Lauffläche",EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.2b,Reifen: Cord-/Gewebelage sichtbar oder Reifenplatzer droht,VM|VU,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.3a,Reifengröße nicht vorschriftsmäßig (nicht in Papieren eingetragen),EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.4a,Reifen unterschiedlicher Bauart auf einer Achse (Radial/Diagonal),EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.5a,Reifen: Tragfähigkeit oder Geschwindigkeitsindex nicht ausreichend,EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.5b,Reifen: unzulässig nachgeschnitten,EM|VU,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.6a,"Rad: Felge beschädigt (Risse, Verformung, starke Korrosion)",EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.6b,"Rad: Felge gebrochen, Bruchgefahr",VM|VU,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.7a,Radschrauben/-muttern: fehlen oder lose,EM|VM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.7b,Radschrauben/-muttern: Lösen des Rades zu erwarten,VM|VU,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.8a,Radlager: übermäßiges Spiel,EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.8b,"Radlager: übermäßiges Spiel, Lösen des Rades zu erwarten",VM|VU,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.2,Räder und Reifen,5.2.9a,"Rad/Felge: nicht genehmigt, ohne ABE/Eintragung",EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.3,Aufhängung (Federung / Stoßdämpfer),5.3.1a,Feder: gebrochen oder gerissen,EM|VM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.3,Aufhängung (Federung / Stoßdämpfer),5.3.1b,Feder: Befestigung lose,EM|VM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.3,Aufhängung (Federung / Stoßdämpfer),5.3.2a,Stoßdämpfer: undicht (leichter Ölfilm),GM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.3,Aufhängung (Federung / Stoßdämpfer),5.3.2b,Stoßdämpfer: erheblich undicht oder ohne Funktion,EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.3,Aufhängung (Federung / Stoßdämpfer),5.3.2c,Stoßdämpfer: Befestigung lose oder gebrochen,EM|VM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.3,Aufhängung (Federung / Stoßdämpfer),5.3.3a,Stabilisator: Befestigung lose oder Koppelstange defekt,GM|EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.3,Aufhängung (Federung / Stoßdämpfer),5.3.3b,Stabilisator: gebrochen,EM|VM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.3,Aufhängung (Federung / Stoßdämpfer),5.3.4a,Drehstab/Torsionsfeder: gebrochen,EM|VM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.3,Aufhängung (Federung / Stoßdämpfer),5.3.5a,"Luftfederung: ohne Funktion, Fahrzeug steht zu tief",EM,false
5,"Achsen, Räder, Reifen, Aufhängungen",5.3,Aufhängung (Federung / Stoßdämpfer),5.3.5b,Fahrwerk unzulässig tiefergelegt (ohne Eintragung/ABE),EM,false
6,Fahrgestell / Rahmen / Aufbau und daran befestigte Teile,6.1,Fahrgestell / Rahmen / tragende Teile,6.1.1a,Rahmen/tragende Teile: leichte Korrosion ohne Beeinträchtigung der Festigkeit,GM,false
6,Fahrgestell / Rahmen / Aufbau und daran befestigte Teile,6.1,Fahrgestell / Rahmen / tragende Teile,6.1.1b,"Rahmen/tragende Teile: starke Korrosion, Festigkeit beeinträchtigt",EM,false
6,Fahrgestell / Rahmen / Aufbau und daran befestigte Teile,6.1,Fahrgestell / Rahmen / tragende Teile,6.1.1c,"Rahmen/tragende Teile: durchgerostet, Bruchgefahr",VM|VU,false
6,Fahrgestell / Rahmen / Aufbau und daran befestigte Teile,6.1,Fahrgestell / Rahmen / tragende Teile,6.1.2a,"Rahmen/tragende Teile: gerissen, verformt, nicht fachgerecht repariert",EM|VM,false
6,Fahrgestell / Rahmen / Aufbau und daran befestigte Teile,6.1,Fahrgestell / Rahmen / tragende Teile,6.1.3a,Längsträger/Schweller: leichter Rostbefall,GM,false
6,Fahrgestell / Rahmen / Aufbau und daran befestigte Teile,6.1,Fahrgestell / Rahmen / tragende Teile,6.1.3b,"Längsträger/Schweller: starker Rostbefall, Festigkeit beeinträchtigt",EM|VM,false
6,Fahrgestell / Rahmen / Aufbau und daran befestigte Teile,6.1,Fahrgestell / Rahmen / tragende Teile,6.1.4a,Hilfsrahmen/Fahrschemel: Befestigung lose,EM,false
6,Fahrgestell / Rahmen / Aufbau und daran befestigte Teile,6.1,Fahrgestell / Rahmen / tragende Teile,6.1.4b,Hilfsrahmen/Fahrschemel: Lösen zu erwarten,VM|VU,false
6,Fahrgestell / Rahmen / Aufbau und daran befestigte Teile,6.2,Aufbau / Karosserie / Kabine,6.2.1a,"Karosserieteile: lose oder beschädigt, keine Verletzungsgefahr",GM,false
6,Fahrgestell / Rahmen / Aufbau und daran befestigte Teile,6.2,Aufbau / Karosserie / Kabine,6.2.1b,"Karosserieteile: lose, Verletzungsgefahr für andere Verkehrsteilnehmer",EM,false
